Equipment,EquipmentID
1 DB,1
1 DB (50/15.9 kgs),2
2 DBs,3
2 Dumbbells,4
2 Dumbbells (35/11.3 kgs),5
2 Dumbbells (Medium),6
2 Heavy Dumbbells,7
2 Heavy KBs,8
2 Heavy Kettlebells,9
4 DBs,11
6 Rounds: 400m Run,12
Assault/Echo Bike,13
Bar/Rings,14
Barbell,15
Barbell (100/70 kgs),16
Barbell (115/34.0 kgs),17
Barbell (135/43.1 kgs),18
Barbell (155/47.6 kgs),19
Barbell (225/70.3 kgs),20
Barbell (275/83.9 kgs),21
Barbell (315/102.1 kgs),22
Barbell (35/25 kgs),23
Barbell (45/30 kgs),24
Barbell (50/35 kgs),25
Barbell (60/45 kgs),26
Barbell (65/20.4 kgs),27
Barbell (70/50 kgs),28
Barbell (75/24.9 kgs),29
Barbell (85/60 kgs),30
Barbell (95/29.5 kgs),31
Bike,32
Blocks,33
Box,34
Box (20 in),35
Box/Bench,36
Complete 12 rounds of: 400m Row,37
Complete 12 rounds of: 400m Run,38
Complete all 12 Labours in order for time,39
DB,40
Dumbbell,41
Equipment Needed,42
GHD,43
GHD (or Mat),44
GHD (or None),45
GHD Machine,46
GHD Machine (or AbMat),47
Heavy Bag/Stone,48
Heavy Barbell,49
Heavy Dumbbell/D-Ball,50
Heavy KB/DB,51
Heavy Kettlebell,52
Heavy Kettlebell/DB,53
High Box,54
Jump Rope,55
Jump Rope (for Double Unders),56
KB,57
KB/DB (Heavy & Medium),58
KB/DBs,59
Kettlebell,60
Kettlebell (Light & Heavy),61
Mat,62
,63
None (Bodyweight),64
None (bodyweight),65
Parallettes/Bench,66
Parallettes/Rings/Mat,67
Pegboard,68
Pull-up Bar,69
Pull-up Bar (Optional band for assistance),70
Pull-up Bar (optional Rings),71
Pull-up Bar (optional),72
Rings,73
Rings/Bar,74
Rings/Parallettes,75
Rings/Towel,76
Rope,77
Row,78
Row/Bike/Running,79
Rower,80
Rower/Bike,81
Running Space,82
Running Space/Bike,83
Sandbag,84
Sandbag (Heavy),85
Single Dumbbell,86
Single Kettlebell,87
Ski Erg,88
Sled,89
Sled/Rope,90
Squat Rack,91
Staircase,92
"Team of 2. Both partners complete the ""Journey"" (400m Run",93
Team of 2. Both partners run 400m together,94
Various,95
WB,96
Wall,97
Wall Ball,98
Wall Ball (10/5 kgs),99
Weight Vest,100
Weight Vest (Optional),101
Weights (optional),102
Yoke,103
or Ski) together,107
with no running or cardio in between. Total Volume: 480m of Carries/Crawls,110
